,UMAP_1,UMAP_2,file_name,class
0,31.484838,-12.319701,EX_SPEC_ALIGNMENT_CHART_sw_1_2_s_0_7_cc_2,EX_SPEC_ALIGNMENT_CHART
1,-34.07597,-11.147975,BRCA-EU-fc8130e0-a8b4-d80d-e040-11ac0c483272,BRCA-EU
2,-6.495302,-33.105118,breast_cancer_sw_1_0_s_0_5_cc_0,breast_cancer
3,-16.13015,9.097935,EX_SPEC_CIRCOS_sw_1_0_s_0_7_oc,EX_SPEC_CIRCOS
4,15.712119,-5.051788,rule-mark_p_0_sw_1_2_s_0_7_oc,rule-mark
5,21.035097,44.950356,combination-points_p_1_sw_0_7_s_1_2_cc_0,combination-points
6,30.827402,-10.582814,EX_SPEC_ALIGNMENT_CHART_sw_1_0_s_1_2_cc_2,EX_SPEC_ALIGNMENT_CHART
7,-7.2778296,-8.604799,breast_cancer_sw_1_2_s_1_0_cc_0,breast_cancer
8,4.882434,-2.097313,GFF_DEMO_sw_1_2_s_1_0_cc_0,GFF_DEMO
9,-8.031004,48.898983,circular-point-first_p_0_sw_1_2_s_0_7_oc,circular-point-first
10,-11.390194,34.883347,circular-bar-first_p_0_sw_0_7_s_1_2_cc_0,circular-bar-first
11,-25.315401,13.030493,EX_SPEC_CIRCOS_sw_1_2_s_1_0_cc_1,EX_SPEC_CIRCOS
12,33.98354,22.633131,combination-area-bar_p_0_sw_0_7_s_1_0_cc_0,combination-area-bar
13,-24.081345,30.77677,EX_SPEC_LINKING_sw_1_0_s_1_0_oc,EX_SPEC_LINKING
14,-8.136047,-16.530554,EX_SPEC_GREMLIN_sw_0_7_s_1_2_cc_0,EX_SPEC_GREMLIN
15,5.23865,18.717833,example_sw_1_0_s_1_0_cc_0,example
16,-32.89365,-15.632507,BRCA-EU-fc8130df-2211-cfcc-e040-11ac0d485dde,BRCA-EU
17,-15.095239,56.709335,circular-comb-heat-bar_p_1_sw_1_0_s_1_0_oc,circular-comb-heat-bar
18,-8.985931,28.928705,multi_view_circular_ideograms_m_3_sw_1_0_s_1_0_oc_cc_0,multi_view_circular_ideograms
