,file_name,class,index,original
0,AREA_sw_0_7_s_0_7_cc_0,AREA,True,AREA_sw_0_7_s_0_7_cc_0
1,AREA_sw_0_7_s_0_7_cc_1,AREA,False,AREA_sw_0_7_s_1_0_cc_1
2,AREA_sw_0_7_s_0_7_cc_2,AREA,False,AREA_sw_1_2_s_0_7_cc_2
3,AREA_sw_0_7_s_0_7_cc_3,AREA,False,AREA_sw_0_7_s_1_2_cc_3
4,AREA_sw_0_7_s_0_7_oc,AREA,False,AREA_sw_1_0_s_0_7_oc
5,AREA_sw_0_7_s_1_0_cc_0,AREA,False,AREA_sw_0_7_s_0_7_cc_0
6,AREA_sw_0_7_s_1_0_cc_1,AREA,True,AREA_sw_0_7_s_1_0_cc_1
7,AREA_sw_0_7_s_1_0_cc_2,AREA,False,AREA_sw_1_2_s_0_7_cc_2
8,AREA_sw_0_7_s_1_0_cc_3,AREA,False,AREA_sw_0_7_s_1_2_cc_3
9,AREA_sw_0_7_s_1_0_oc,AREA,False,AREA_sw_1_0_s_0_7_oc
10,AREA_sw_0_7_s_1_2_cc_0,AREA,False,AREA_sw_0_7_s_0_7_cc_0
11,AREA_sw_0_7_s_1_2_cc_1,AREA,False,AREA_sw_0_7_s_1_0_cc_1
12,AREA_sw_0_7_s_1_2_cc_2,AREA,False,AREA_sw_1_2_s_0_7_cc_2
13,AREA_sw_0_7_s_1_2_cc_3,AREA,True,AREA_sw_0_7_s_1_2_cc_3
14,AREA_sw_0_7_s_1_2_oc,AREA,False,AREA_sw_1_0_s_0_7_oc
15,AREA_sw_1_0_s_0_7_cc_0,AREA,False,AREA_sw_0_7_s_0_7_cc_0
16,AREA_sw_1_0_s_0_7_cc_1,AREA,False,AREA_sw_0_7_s_1_0_cc_1
17,AREA_sw_1_0_s_0_7_cc_2,AREA,False,AREA_sw_1_2_s_0_7_cc_2
18,AREA_sw_1_0_s_0_7_cc_3,AREA,False,AREA_sw_0_7_s_1_2_cc_3
19,AREA_sw_1_0_s_0_7_oc,AREA,True,AREA_sw_1_0_s_0_7_oc
20,AREA_sw_1_0_s_1_0_cc_0,AREA,False,AREA_sw_0_7_s_0_7_cc_0
