query_type,target_embedding_type,smallest_k_matched,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10
alt,image,58741,0.0784313725490196,0.11764705882352941,0.16666666666666666,0.16666666666666666,0.1715686274509804,0.19117647058823528,0.23039215686274508,0.23529411764705882,0.24019607843137256,0.25
alt,spec,172967,0.024509803921568627,0.04411764705882353,0.04411764705882353,0.049019607843137254,0.049019607843137254,0.049019607843137254,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
alt,text,29747,0.37254901960784315,0.47058823529411764,0.5196078431372549,0.5490196078431373,0.5735294117647058,0.5980392156862745,0.6078431372549019,0.6127450980392157,0.6225490196078431,0.6274509803921569
alt,text_0_2_4,23833,0.4362745098039216,0.5343137254901961,0.5784313725490197,0.6323529411764706,0.6519607843137255,0.6666666666666666,0.6764705882352942,0.6813725490196079,0.6813725490196079,0.696078431372549
alt,text_0_2_4_llm_fs_single,20325,0.2696078431372549,0.31862745098039214,0.37254901960784315,0.4117647058823529,0.4362745098039216,0.49019607843137253,0.5098039215686274,0.5098039215686274,0.5147058823529411,0.5245098039215687
alt_0_2_4_llm_fs_single,image,30350,0.22549019607843138,0.27450980392156865,0.3088235294117647,0.3333333333333333,0.3627450980392157,0.37254901960784315,0.38235294117647056,0.3872549019607843,0.4019607843137255,0.4166666666666667
alt_0_2_4_llm_fs_single,spec,150746,0.0392156862745098,0.06372549019607843,0.0784313725490196,0.09313725490196079,0.09803921568627451,0.10784313725490197,0.11274509803921569,0.11764705882352941,0.11764705882352941,0.12254901960784313
alt_0_2_4_llm_fs_single,text,59091,0.22058823529411764,0.2549019607843137,0.25980392156862747,0.28431372549019607,0.28431372549019607,0.28921568627450983,0.29411764705882354,0.29901960784313725,0.30392156862745096,0.3235294117647059
alt_0_2_4_llm_fs_single,text_0_2_4,51559,0.22058823529411764,0.27941176470588236,0.3235294117647059,0.3382352941176471,0.3480392156862745,0.36764705882352944,0.37745098039215685,0.3872549019607843,0.3872549019607843,0.4019607843137255
alt_0_2_4_llm_fs_single,text_0_2_4_llm_fs_single,10052,0.45098039215686275,0.553921568627451,0.6127450980392157,0.6421568627450981,0.6764705882352942,0.6911764705882353,0.7205882352941176,0.7401960784313726,0.7598039215686274,0.7598039215686274
imgs,image,10498,0.6519607843137255,0.6862745098039216,0.7107843137254902,0.7303921568627451,0.7401960784313726,0.75,0.7549019607843137,0.7549019607843137,0.7598039215686274,0.7598039215686274
imgs,spec,216187,0.014705882352941176,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.029411764705882353,0.029411764705882353,0.0392156862745098,0.0392156862745098,0.0392156862745098,0.0392156862745098
imgs,text,72785,0.14705882352941177,0.15196078431372548,0.16176470588235295,0.1715686274509804,0.18137254901960784,0.18627450980392157,0.18627450980392157,0.18627450980392157,0.18627450980392157,0.21568627450980393
imgs,text_0_2_4,66884,0.14215686274509803,0.1715686274509804,0.18627450980392157,0.18627450980392157,0.19117647058823528,0.19117647058823528,0.19117647058823528,0.19607843137254902,0.20098039215686275,0.22549019607843138
imgs,text_0_2_4_llm_fs_single,12332,0.2107843137254902,0.3137254901960784,0.37254901960784315,0.4264705882352941,0.46568627450980393,0.5,0.5196078431372549,0.5441176470588235,0.5490196078431373,0.5588235294117647
specs,image,190908,0.03431372549019608,0.03431372549019608,0.04411764705882353,0.04411764705882353,0.04411764705882353,0.049019607843137254,0.049019607843137254,0.049019607843137254,0.049019607843137254,0.05392156862745098
specs,spec,34766,0.3333333333333333,0.4068627450980392,0.45098039215686275,0.4852941176470588,0.5147058823529411,0.5245098039215687,0.5490196078431373,0.5637254901960784,0.5686274509803921,0.5686274509803921
specs,spec_frequency,1112,0.6127450980392157,0.7205882352941176,0.7647058823529411,0.8235294117647058,0.8382352941176471,0.8823529411764706,0.8872549019607843,0.8921568627450981,0.9019607843137255,0.9019607843137255
specs,spec_onehot,2758,0.6127450980392157,0.6617647058823529,0.75,0.803921568627451,0.8137254901960784,0.8480392156862745,0.8578431372549019,0.8627450980392157,0.8676470588235294,0.8725490196078431
specs,text,207006,0.049019607843137254,0.049019607843137254,0.049019607843137254,0.05392156862745098,0.05392156862745098,0.05392156862745098,0.05392156862745098,0.05392156862745098,0.05392156862745098,0.058823529411764705
specs,text_0_2_4,229314,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.03431372549019608,0.0392156862745098,0.0392156862745098,0.04411764705882353
specs,text_0_2_4_llm_fs_single,54803,0.029411764705882353,0.058823529411764705,0.07352941176470588,0.08823529411764706,0.10294117647058823,0.11274509803921569,0.12254901960784313,0.12745098039215685,0.13725490196078433,0.14705882352941177
