,Unnamed: 0,query_file,query_type,target_embedding_type,smallest_k_matched
0,0,EX_SPEC_TEMPLATE_sw_1_0_s_1_0_oc_query1.png,imgs,text,979
1,1,EX_SPEC_TEMPLATE_sw_1_0_s_1_0_oc_query1.png,imgs,text_0_2_4,524
2,2,EX_SPEC_TEMPLATE_sw_1_0_s_1_0_oc_query1.png,imgs,text_0_2_4_llm_fs_single,48
3,3,EX_SPEC_TEMPLATE_sw_1_0_s_1_0_oc_query1.png,imgs,image,228
4,4,EX_SPEC_TEMPLATE_sw_1_0_s_1_0_oc_query1.png,imgs,spec,37
5,5,circular-point-second_p_0_sw_0_7_s_1_2_cc_0_query.png,imgs,text,69
6,6,circular-point-second_p_0_sw_0_7_s_1_2_cc_0_query.png,imgs,text_0_2_4,69
7,7,circular-point-second_p_0_sw_0_7_s_1_2_cc_0_query.png,imgs,text_0_2_4_llm_fs_single,66
8,8,circular-point-second_p_0_sw_0_7_s_1_2_cc_0_query.png,imgs,image,1
9,9,circular-point-second_p_0_sw_0_7_s_1_2_cc_0_query.png,imgs,spec,537
10,10,stratified-line_p_0_sw_1_2_s_1_2_oc_query.png,imgs,text,1065
11,11,stratified-line_p_0_sw_1_2_s_1_2_oc_query.png,imgs,text_0_2_4,1187
12,12,stratified-line_p_0_sw_1_2_s_1_2_oc_query.png,imgs,text_0_2_4_llm_fs_single,19
13,13,stratified-line_p_0_sw_1_2_s_1_2_oc_query.png,imgs,image,1
14,14,stratified-line_p_0_sw_1_2_s_1_2_oc_query.png,imgs,spec,1565
15,15,gene_annotation_single_1_s_1_0_oc_query.png,imgs,text,310
16,16,gene_annotation_single_1_s_1_0_oc_query.png,imgs,text_0_2_4,204
17,17,gene_annotation_single_1_s_1_0_oc_query.png,imgs,text_0_2_4_llm_fs_single,2
18,18,gene_annotation_single_1_s_1_0_oc_query.png,imgs,image,1
19,19,gene_annotation_single_1_s_1_0_oc_query.png,imgs,spec,750
20,20,gray_heatmap_sw_1_0_s_1_0_oc_sw_1_2_s_1_2_oc_query.png,imgs,text,21
21,21,gray_heatmap_sw_1_0_s_1_0_oc_sw_1_2_s_1_2_oc_query.png,imgs,text_0_2_4,34
22,22,gray_heatmap_sw_1_0_s_1_0_oc_sw_1_2_s_1_2_oc_query.png,imgs,text_0_2_4_llm_fs_single,28
23,23,gray_heatmap_sw_1_0_s_1_0_oc_sw_1_2_s_1_2_oc_query.png,imgs,image,4
24,24,gray_heatmap_sw_1_0_s_1_0_oc_sw_1_2_s_1_2_oc_query.png,imgs,spec,2613
25,25,multiple_view_p_2_m_11_sw_1_0_s_1_0_p_0_sw_1_2_s_1_2_oc_query1.png,imgs,text,1868
26,26,multiple_view_p_2_m_11_sw_1_0_s_1_0_p_0_sw_1_2_s_1_2_oc_query1.png,imgs,text_0_2_4,1772
27,27,multiple_view_p_2_m_11_sw_1_0_s_1_0_p_0_sw_1_2_s_1_2_oc_query1.png,imgs,text_0_2_4_llm_fs_single,557
28,28,multiple_view_p_2_m_11_sw_1_0_s_1_0_p_0_sw_1_2_s_1_2_oc_query1.png,imgs,image,445
29,29,multiple_view_p_2_m_11_sw_1_0_s_1_0_p_0_sw_1_2_s_1_2_oc_query1.png,imgs,spec,848
30,30,AREA_sw_1_2_s_0_7_cc_2_query.png,imgs,text,151
31,31,AREA_sw_1_2_s_0_7_cc_2_query.png,imgs,text_0_2_4,154
32,32,AREA_sw_1_2_s_0_7_cc_2_query.png,imgs,text_0_2_4_llm_fs_single,4
33,33,AREA_sw_1_2_s_0_7_cc_2_query.png,imgs,image,1
34,34,AREA_sw_1_2_s_0_7_cc_2_query.png,imgs,spec,2148
35,35,multi_layer_circular_m_0_sw_1_0_s_0_7_oc_query.png,imgs,text,513
36,36,multi_layer_circular_m_0_sw_1_0_s_0_7_oc_query.png,imgs,text_0_2_4,26
37,37,multi_layer_circular_m_0_sw_1_0_s_0_7_oc_query.png,imgs,text_0_2_4_llm_fs_single,189
38,38,multi_layer_circular_m_0_sw_1_0_s_0_7_oc_query.png,imgs,image,2
39,39,multi_layer_circular_m_0_sw_1_0_s_0_7_oc_query.png,imgs,spec,24
40,40,EX_SPEC_CIRCOS_BETWEEN_LINK_sw_1_0_s_1_0_oc_query.png,imgs,text,1
41,41,EX_SPEC_CIRCOS_BETWEEN_LINK_sw_1_0_s_1_0_oc_query.png,imgs,text_0_2_4,1
42,42,EX_SPEC_CIRCOS_BETWEEN_LINK_sw_1_0_s_1_0_oc_query.png,imgs,text_0_2_4_llm_fs_single,1
43,43,EX_SPEC_CIRCOS_BETWEEN_LINK_sw_1_0_s_1_0_oc_query.png,imgs,image,1
44,44,EX_SPEC_CIRCOS_BETWEEN_LINK_sw_1_0_s_1_0_oc_query.png,imgs,spec,1
45,45,EX_SPEC_PILEUP_sw_1_0_s_1_0_oc_query1.png,imgs,text,268
46,46,EX_SPEC_PILEUP_sw_1_0_s_1_0_oc_query1.png,imgs,text_0_2_4,377
47,47,EX_SPEC_PILEUP_sw_1_0_s_1_0_oc_query1.png,imgs,text_0_2_4_llm_fs_single,107
48,48,EX_SPEC_PILEUP_sw_1_0_s_1_0_oc_query1.png,imgs,image,593
49,49,EX_SPEC_PILEUP_sw_1_0_s_1_0_oc_query1.png,imgs,spec,22
50,50,EX_SPEC_LINKING_sw_1_0_s_1_0_cc_0_query1.png,imgs,text,466
51,51,EX_SPEC_LINKING_sw_1_0_s_1_0_cc_0_query1.png,imgs,text_0_2_4,414
52,52,EX_SPEC_LINKING_sw_1_0_s_1_0_cc_0_query1.png,imgs,text_0_2_4_llm_fs_single,92
53,53,EX_SPEC_LINKING_sw_1_0_s_1_0_cc_0_query1.png,imgs,image,58
54,54,EX_SPEC_LINKING_sw_1_0_s_1_0_cc_0_query1.png,imgs,spec,2698
55,55,multi_view_circular_ideograms_m_3_sw_1_0_s_1_0_oc_oc_query.png,imgs,text,3
56,56,multi_view_circular_ideograms_m_3_sw_1_0_s_1_0_oc_oc_query.png,imgs,text_0_2_4,1
57,57,multi_view_circular_ideograms_m_3_sw_1_0_s_1_0_oc_oc_query.png,imgs,text_0_2_4_llm_fs_single,103
58,58,multi_view_circular_ideograms_m_3_sw_1_0_s_1_0_oc_oc_query.png,imgs,image,1
59,59,multi_view_circular_ideograms_m_3_sw_1_0_s_1_0_oc_oc_query.png,imgs,spec,1172
60,60,multi_layer_circular_m_3_s_0_5_cc_0_query.png,imgs,text,439
61,61,multi_layer_circular_m_3_s_0_5_cc_0_query.png,imgs,text_0_2_4,475
62,62,multi_layer_circular_m_3_s_0_5_cc_0_query.png,imgs,text_0_2_4_llm_fs_single,82
63,63,multi_layer_circular_m_3_s_0_5_cc_0_query.png,imgs,image,4
64,64,multi_layer_circular_m_3_s_0_5_cc_0_query.png,imgs,spec,266
65,65,gene_annotation_p_4_sw_1_0_s_1_0_query1.png,imgs,text,81
66,66,gene_annotation_p_4_sw_1_0_s_1_0_query1.png,imgs,text_0_2_4,244
67,67,gene_annotation_p_4_sw_1_0_s_1_0_query1.png,imgs,text_0_2_4_llm_fs_single,4
68,68,gene_annotation_p_4_sw_1_0_s_1_0_query1.png,imgs,image,4
69,69,gene_annotation_p_4_sw_1_0_s_1_0_query1.png,imgs,spec,358
70,70,EX_SPEC_GREMLIN_sw_1_0_s_1_0_oc_query1.png,imgs,text,58
