query	groundtruth_extended
EX_SPEC_MATRIX_HFFC6_sw_1_2_s_1_2_recolor_query1	EX_SPEC_MATRIX_HFFC6_sw_1_0_s_1_2_recolor
EX_SPEC_MATRIX_HFFC6_sw_1_2_s_1_2_recolor_query1	EX_SPEC_MATRIX_HFFC6_sw_0_7_s_1_2_recolor
EX_SPEC_MATRIX_HFFC6_sw_1_2_s_1_2_recolor_query1	EX_SPEC_MATRIX_HFFC6_sw_1_2_s_1_2_recolor
EX_SPEC_MATRIX_HFFC6_sw_1_2_s_1_2_recolor_query1	EX_SPEC_MATRIX_HFFC6_sw_1_2_s_1_2
EX_SPEC_MATRIX_HFFC6_sw_1_2_s_1_2_recolor_query1	EX_SPEC_MATRIX_HFFC6_sw_0_7_s_1_2
EX_SPEC_MATRIX_HFFC6_sw_1_2_s_1_2_recolor_query1	EX_SPEC_MATRIX_HFFC6_sw_1_0_s_1_2
EX_SPEC_MATRIX_HFFC6_sw_1_2_s_1_2_recolor_query2	EX_SPEC_MATRIX_HFFC6_sw_1_0_s_1_2_recolor
EX_SPEC_MATRIX_HFFC6_sw_1_2_s_1_2_recolor_query2	EX_SPEC_MATRIX_HFFC6_sw_0_7_s_1_2_recolor
EX_SPEC_MATRIX_HFFC6_sw_1_2_s_1_2_recolor_query2	EX_SPEC_MATRIX_HFFC6_sw_1_2_s_1_2_recolor
EX_SPEC_MATRIX_HFFC6_sw_1_2_s_1_2_recolor_query2	EX_SPEC_MATRIX_HFFC6_sw_1_2_s_1_2
EX_SPEC_MATRIX_HFFC6_sw_1_2_s_1_2_recolor_query2	EX_SPEC_MATRIX_HFFC6_sw_0_7_s_1_2
EX_SPEC_MATRIX_HFFC6_sw_1_2_s_1_2_recolor_query2	EX_SPEC_MATRIX_HFFC6_sw_1_0_s_1_2
