query	GT_extended
breast_cancer_circular_s_2_0_oc_query	breast_cancer_circular_s_1_0_oc
breast_cancer_circular_s_2_0_oc_query	breast_cancer_circular_s_1_2_oc
breast_cancer_circular_s_2_0_oc_query	breast_cancer_circular_s_0_7_oc
breast_cancer_circular_s_2_0_oc_query	breast_cancer_circular_s_0_5_oc
breast_cancer_circular_s_2_0_oc_query	breast_cancer_circular_s_2_0_oc
gene_annotation_single_1_s_1_0_oc_query	gene_annotation_single_1_s_1_0_oc
gene_annotation_single_1_s_1_0_oc_query	gene_annotation_single_1_s_1_2_oc
gene_annotation_single_1_s_1_0_oc_query	gene_annotation_single_1_s_0_7_oc
gene_annotation_single_2_s_1_0_oc_query	gene_annotation_single_2_s_0_7_oc
gene_annotation_single_2_s_1_0_oc_query	gene_annotation_single_2_s_1_0_oc
gene_annotation_single_2_s_1_0_oc_query	gene_annotation_single_2_s_1_2_oc
gene_annotation_single_3_s_1_2_oc_query	gene_annotation_single_3_s_0_7_oc
gene_annotation_single_3_s_1_2_oc_query	gene_annotation_single_3_s_1_2_oc
gene_annotation_single_3_s_1_2_oc_query	gene_annotation_single_3_s_1_0_oc
gene_annotation_single_4_s_1_0_oc_query	gene_annotation_single_4_s_0_7_oc
gene_annotation_single_4_s_1_0_oc_query	gene_annotation_single_4_s_1_2_oc
gene_annotation_single_4_s_1_0_oc_query	gene_annotation_single_4_s_1_0_oc
gene_annotation_single_5_s_1_0_oc_query	gene_annotation_single_5_s_0_7_oc
gene_annotation_single_5_s_1_0_oc_query	gene_annotation_single_5_s_1_0_oc
gene_annotation_single_5_s_1_0_oc_query	gene_annotation_single_5_s_1_2_oc
gene_annotation_single_6_s_1_0_oc_query	gene_annotation_single_6_s_1_0_oc
gene_annotation_single_6_s_1_0_oc_query	gene_annotation_single_6_s_1_2_oc
gene_annotation_single_6_s_1_0_oc_query	gene_annotation_single_6_s_0_7_oc
multi_layer_circular_m_0_s_0_5_cc_0_query	multi_layer_circular_m_0_s_0_5_cc_0
multi_layer_circular_m_0_s_0_5_cc_0_query	multi_layer_circular_m_0_sw_1_0_s_1_0_cc_0
multi_layer_circular_m_0_s_0_5_cc_0_query	multi_layer_circular_m_0_sw_1_2_s_1_0_cc_0
multi_layer_circular_m_0_s_0_5_cc_0_query	multi_layer_circular_m_0_s_1_0_cc_0
multi_layer_circular_m_0_s_0_5_cc_0_query	multi_layer_circular_m_0_sw_0_7_s_1_0_cc_0
multi_layer_circular_m_0_s_0_5_cc_0_query	multi_layer_circular_m_0_s_2_0_cc_0
multi_layer_circular_m_0_s_0_5_cc_0_query	multi_layer_circular_m_0_sw_1_0_s_1_0_oc_cc_0
multi_layer_circular_m_0_s_0_5_cc_0_query	multi_layer_circular_m_0_s_1_0_oc_cc_0
multi_layer_circular_m_0_s_0_5_cc_0_query	multi_layer_circular_m_0_sw_1_0_s_1_2_cc_0
multi_layer_circular_m_0_s_0_5_cc_0_query	multi_layer_circular_m_0_sw_1_2_s_0_7_cc_0
multi_layer_circular_m_0_s_0_5_cc_0_query	multi_layer_circular_m_0_s_0_7_cc_0
multi_layer_circular_m_0_s_0_5_cc_0_query	multi_layer_circular_m_0_sw_0_7_s_0_7_cc_0
multi_layer_circular_m_0_s_0_5_cc_0_query	multi_layer_circular_m_0_sw_0_7_s_1_2_cc_0
multi_layer_circular_m_0_s_0_5_cc_0_query	multi_layer_circular_m_0_s_1_2_cc_0
multi_layer_circular_m_0_s_0_5_cc_0_query	multi_layer_circular_m_0_sw_1_0_s_0_7_cc_0
multi_layer_circular_m_0_s_0_5_cc_0_query	multi_layer_circular_m_0_sw_1_2_s_1_2_cc_0
multi_layer_circular_m_0_s_2_0_oc_query	multi_layer_circular_m_0_s_1_0_oc_oc
multi_layer_circular_m_0_s_2_0_oc_query	multi_layer_circular_m_0_sw_1_2_s_0_7_oc
multi_layer_circular_m_0_s_2_0_oc_query	multi_layer_circular_m_0_sw_1_0_s_1_2_oc
multi_layer_circular_m_0_s_2_0_oc_query	multi_layer_circular_m_0_s_1_2_oc
multi_layer_circular_m_0_s_2_0_oc_query	multi_layer_circular_m_0_sw_0_7_s_1_0_oc
multi_layer_circular_m_0_s_2_0_oc_query	multi_layer_circular_m_0_sw_1_0_s_1_0_oc
multi_layer_circular_m_0_s_2_0_oc_query	multi_layer_circular_m_0_s_1_0_oc
multi_layer_circular_m_0_s_2_0_oc_query	multi_layer_circular_m_0_sw_0_7_s_1_2_oc
